Name,Phone_Number,Category,Sub_Categories,Website,Rating,Review_Number,Working_Hours,Media,Place_Google_ID,Longitude,Latitude,District,City,Pics_Number,Logo,Description,Description_AR,Zip,Price_Range,Verified,Amenities,Full_Address,Order_Link,Reservation_Link,Average_Bill,Status,HudHud_Media,Google_Link,Store_Front,Is_Landmark
Herfy,+966 9200 01111,Fast food restaurant,Fast food restaurant,http://www.herfy.com/,3.8,1373.0,1: 10 AM–4 AM|2: 10 AM–4 AM|3: 10 AM–4 AM|4: 10 AM–4 AM|5: 10 AM–4 AM|6: 12 PM–4 AM|7: 10 AM–4 AM,[],ChIJZSySb20DLz4RVFk1hwsGZVs,46.6983362,24.6940569,Al Olaya,Riyadh,288.0,,,,,$$,Claim this business,Dine-in|Drive-through|No-contact delivery,"SA|12221|Riyadh|MMVX+J8G, Prince Sultan Bin Abdulaziz Rd|Al Olaya",,,,open,,https://www.google.com/maps/place/?q=place_id:ChIJZSySb20DLz4RVFk1hwsGZVs,[],
Sanam Hotel Suites - Riyadh,,Hotel,Hotel,https://sanam-hotel-suites.com/,3.6,1323.0,,['https://lh5.googleusercontent.com/p/AF1QipNR7D2KGW5Ya2SY-qrqdCmMYqjb5KSfc_FQ1bHv=w408-h306-k-no'],ChIJS4KV5GYDLz4R6c-qp1BbZds,46.6926343,24.6809098,Al Olaya,Riyadh,550.0,https://lh5.googleusercontent.com/-NhGzi4rAQgY/AAAAAAAAAAI/AAAAAAAAAAA/7Q0mfSGnlMg/s44-p-k-no-ns-nd/photo.jpg,"Unpretentious hotel offering informal rooms with Wi-Fi, plus a lounge & a breakfast buffet.",,12221.0,,Claimed business,,SA|12221|Riyadh|2942 Makkah Al Mukarramah Rd|Al Olaya,,,SAR 367.50,open,,https://www.google.com/maps/place/?q=place_id:ChIJS4KV5GYDLz4R6c-qp1BbZds,[],
Darbar Restaurant,+966 59 282 7544,Indian restaurant,Indian restaurant,,3.6,1313.0,1: 2 PM–1 AM|2: 2 PM–1 AM|3: 2 PM–1 AM|4: 2 PM–1 AM|5: 2 PM–1 AM|6: 2 PM–1 AM|7: 2 PM–1 AM,['https://lh5.googleusercontent.com/p/AF1QipNK14PZPXRpEmPJjBSJ5kiCXztpz2zQKTUsFLi1=w408-h256-k-no'],ChIJjc-JxkIDLz4RdrRXc--_-l0,46.6883545,24.6832613,Al Olaya,Riyadh,623.0,https://lh6.googleusercontent.com/-zDE8UjAo3mU/AAAAAAAAAAI/AAAAAAAAAAA/o_k8Z6mRlaY/s44-p-k-no-ns-nd/photo.jpg,,,,$$,Claimed business,Dine-in|Takeout|No-contact delivery,SA|Riyadh|طريق الملك فهد الفرعي، Salih Al Rajhi Building|Al Olaya,,,,open,,https://www.google.com/maps/place/?q=place_id:ChIJjc-JxkIDLz4RdrRXc--_-l0,[],
Diamond,+966 11 217 0125,Chinese restaurant,Chinese restaurant,,4.1,1286.0,1: 3–11:30 PM|2: 3–11:30 PM|3: 3–11:30 PM|4: 3–11:30 PM|5: 3–11:30 PM|6: 1 PM–12 AM|7: 1–11:45 PM,['https://lh5.googleusercontent.com/p/AF1QipOIsluasayF42IKWnbOgnTGwOatcp_YTJOp7QI=w408-h544-k-no'],ChIJYV6FXhYDLz4RmOBun2AmJF4,46.69188,24.6989807,Al Olaya,Riyadh,1211.0,https://lh4.googleusercontent.com/-J8Eq7xx1_VQ/AAAAAAAAAAI/AAAAAAAAAAA/tpqWbuORTTU/s44-p-k-no-ns-nd/photo.jpg,,,,$$$,Claimed business,Dine-in|Takeout|No-contact delivery,SA|11564|Riyadh|طريق الأمير محمد بن عبد العزيز،|Al Olaya,,,,open,,https://www.google.com/maps/place/?q=place_id:ChIJYV6FXhYDLz4RmOBun2AmJF4,[],
kenwood - nikon For maintenance,+966 800 244 0277,Appliance repair service,Appliance repair service|Appliance parts supplier|Electronics repair shop,https://abdulwahed.com/,3.0,1283.0,1: 8 AM–5 PM|2: 8 AM–5 PM|3: 8 AM–5 PM|4: 8 AM–5 PM|5: 8 AM–5 PM|6: Closed|7: Closed,['https://lh5.googleusercontent.com/p/AF1QipNbr8Q86XeYm7FWf4oc7jUFm45Owic7fd7sKuru=w408-h306-k-no'],ChIJxV6PQ3sDLz4RfwZ2yWJWxb0,46.693881,24.675786,Al Olaya,Riyadh,370.0,https://lh3.googleusercontent.com/-ih0P_I11epo/AAAAAAAAAAI/AAAAAAAAAAA/igeoxrsuSTo/s44-p-k-no-ns-nd/photo.jpg,,,,,Claimed business,,"SA|Riyadh|opp Fahad hotel، Al, Olaya St|Al Olaya",,,,open,,https://www.google.com/maps/place/?q=place_id:ChIJxV6PQ3sDLz4RfwZ2yWJWxb0,[],
Jadeel Coffee | قهوة جديل,+966 53 711 5740,Cafe,Cafe|Chocolate cafe,,4.1,1255.0,1: 6 AM–1 AM|2: 6 AM–1 AM|3: 6 AM–1 AM|4: 6 AM–1 AM|5: 6 AM–1 AM|6: 6 AM–1 AM|7: 6 AM–1 AM,['https://lh5.googleusercontent.com/p/AF1QipPrEyCS_pxy_u0b-rvzPkwXcruPIENq-Zm16kB1=w408-h544-k-no'],ChIJ-5zuuLodLz4RkOku5tMTLUk,46.6705129,24.6989275,Al Olaya,Riyadh,1078.0,https://lh6.googleusercontent.com/-n6O_1lTtpy4/AAAAAAAAAAI/AAAAAAAAAAA/0Wl9H3BGqpo/s44-p-k-no-ns-nd/photo.jpg,,,,$$,Claimed business,Dine-in|Takeout|No-contact delivery,SA|12331|Riyadh|7223، شارع موسى بن نصير، العليا، 3663|Al Olaya,,,,open,"['https://drive.google.com/open?id=1vHKZ6AUKJGqJ_0LmCPISoNwk2naFlb7f', 'https://drive.google.com/open?id=1vo7N2xaDplZXDry4FS-RtkRqLxyBO4pi', 'https://drive.google.com/open?id=1TQPhPPQC4uISdU7hQU2spXVdR3FnVGGw', 'https://drive.google.com/open?id=1d4ZclUaNuJKwNP0Oqj75BJ0o97-XVhzo', 'https://drive.google.com/open?id=1B7U9GPpD8ZrQyJikDahj2Sic4d9MZkr4', 'https://drive.google.com/open?id=1YM1skYDECb4xjGn0fLfEkNrKyvyKZf3H', 'https://drive.google.com/open?id=1E7H4ku_2B_OR3b5j2q6uH17a6JZ9Kp5t', 'https://drive.google.com/open?id=14xNZLiXlxnf5-v7IoEhzy_mFXuF0TgyV', 'https://drive.google.com/open?id=1GKvfs2qQLQiQGIuRlpL9teE7UAMvWBqU', 'https://drive.google.com/open?id=1eJsC8-1c1RMdCqkMwPNT_4yRSdKHlqoP']",https://www.google.com/maps/place/?q=place_id:ChIJ-5zuuLodLz4RkOku5tMTLUk,"['https://drive.google.com/open?id=1ATHzaIqHsFX1q1bgEw7c86SiUn1A86Ge', 'https://drive.google.com/open?id=1uDHJesvxNtDJayofvnbRD5cxuAGcan3X', 'https://drive.google.com/open?id=1ybrIzk_U6SvGSDaZ8wpt1mZ112aauA-i', 'https://drive.google.com/open?id=101O1sGGK7J7mymLVsEZO8iFOx5fINpME']",
Starbucks,+966 11 511 1911,Coffee shop,Coffee shop,https://locations.starbucks.sa/directory/riyadh/tamimi-kf?utm_source=GMB&utm_medium=Yext&y_source=1_MTU0ODEzNDYtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,4.1,1252.0,"1: Open 24 hours|2: Open 24 hours|3: Open 24 hours|4: Open 24 hours|5: Open 24 hours|6: 1–11:45 AM, 12:15 PM–12 AM|7: Open 24 hours",['https://lh5.googleusercontent.com/p/AF1QipNRnHBRqu_75KpGxFySAbZc0raFnOzi5b1JMNZx=w408-h510-k-no'],ChIJH2me3r0DLz4RNVpImvt3Dsc,46.6827656,24.6896676,Al Olaya,Riyadh,672.0,https://lh5.googleusercontent.com/-wFUDzz17GUg/AAAAAAAAAAI/AAAAAAAAAAA/6IHl12LMQjc/s44-p-k-no-ns-nd/photo.jpg,"Seattle-based coffeehouse chain known for its signature roasts, light bites and WiFi availability.",,12313.0,$$,Claimed business,Dine-in|Drive-through|No-contact delivery,SA|Riyadh|Tamimi KF|Al Olaya,,,,open,,https://www.google.com/maps/place/?q=place_id:ChIJH2me3r0DLz4RNVpImvt3Dsc,[],
CARE MEDICAL CENTER,+966 11 271 6666,Medical clinic,Medical clinic|Dermatologist|Hospital|Laser hair removal service|Medical Center|Plastic surgery clinic|Plastic surgeon|Surgeon|Surgical center,https://care.sa/,4.3,1251.0,1: 10 AM–10 PM|2: 10 AM–10 PM|3: 10 AM–10 PM|4: 10 AM–10 PM|5: 10 AM–10 PM|6: Closed|7: 10 AM–10 PM,['https://lh5.googleusercontent.com/p/AF1QipM69ONTqg_d2OWcZRuQT0uwjVrcEb_Necez05ue=w408-h544-k-no'],ChIJubR663EDLz4RqmO_HkEKypQ,46.7003076,24.6905109,Al Olaya,Riyadh,103.0,https://lh4.googleusercontent.com/-TavHwfrOAns/AAAAAAAAAAI/AAAAAAAAAAA/4osWDbN1-qU/s44-p-k-no-ns-nd/photo.jpg,,,,,Claimed business,,SA|11393|Riyadh|Prince Abdulaziz Ibn Musaid Ibn Jalawi St|Al Olaya,http://caremc.app.link/,,,open,,https://www.google.com/maps/place/?q=place_id:ChIJubR663EDLz4RqmO_HkEKypQ,[],
Nozomi,+966 9200 11923,Japanese restaurant,Japanese restaurant,https://nozomiksa.co/,4.4,1243.0,1: 1 PM–1 AM|2: 1 PM–1 AM|3: 1 PM–1 AM|4: 1 PM–1 AM|5: 1 PM–1 AM|6: 1 PM–1 AM|7: 1 PM–1 AM,['https://lh5.googleusercontent.com/p/AF1QipNtwYVeHLNQXC0F8Ih58lasojAhF_PQSo9Nv5jt=w408-h544-k-no'],ChIJk_s8vzcDLz4RbeLdBcNsKPE,46.6771162,24.7010494,Al Olaya,Riyadh,1449.0,https://lh6.googleusercontent.com/-9by62FctbCw/AAAAAAAAAAI/AAAAAAAAAAA/kCxpjh0Pt0k/s44-p-k-no-ns-nd/photo.jpg,,,,$$$$,Claimed business,Dine-in|Takeout|No-contact delivery,"SA|12331|Riyadh|7448 King Fahd Rd, 4255|Al Olaya",https://nozomiksa.co/riyadh-reservations/,nozomiksa.co,,open,"['https://drive.google.com/open?id=1d1BN7EcfjK0oLNpm9VOEjZ95WB1WDy8i', 'https://drive.google.com/open?id=1i5froysbs26AsSDsyq0b-i8PPG6kGUH_', 'https://drive.google.com/open?id=1AQmV_3KMxNx2Es16Ixru0TU3AJPE310V', 'https://drive.google.com/open?id=1Gwaaw8Q9Q5W0SUaDUWO7mDd0xkGn8weG', 'https://drive.google.com/open?id=1AafSNhV8jAFHoTYucjY_Z4Xb4CjmedJu', 'https://drive.google.com/open?id=1OewNkpmPQZfighYvfCVp6udsOsnCnezt', 'https://drive.google.com/open?id=1-Ksd3d6DRvW0VgLHALC0-sx3BvO_K72N', 'https://drive.google.com/open?id=1VjYpf-aHvg7x6AqQF4MPXDmSaAW32stc', 'https://drive.google.com/open?id=10dPrXChaSoWBBxPnhfQaOiK5BpZ3Z0Rt', 'https://drive.google.com/open?id=13DBSJG6kAfD96DXTZQkbHL4RCZSfIQqL']",https://www.google.com/maps/place/?q=place_id:ChIJk_s8vzcDLz4RbeLdBcNsKPE,[],
Carz Zone,+966 50 444 1221,Auto body shop,Auto body shop,http://www.carzzone.com/,4.5,1221.0,1: 9 AM–9 PM|2: 9 AM–9 PM|3: 9 AM–9 PM|4: 9 AM–9 PM|5: 9 AM–9 PM|6: Closed|7: 9 AM–9 PM,['https://lh5.googleusercontent.com/p/AF1QipMc761xrxfso6sA3JzUf0yParrPUOtYpt_aRcUA=w426-h240-k-no'],ChIJj9Jws3kILz4Rt12m9KjzzZw,46.6940529,24.6960018,Al Olaya,Riyadh,4794.0,https://lh4.googleusercontent.com/-Q9qJk60VhC4/AAAAAAAAAAI/AAAAAAAAAAA/rn5TI4TMjRM/s44-p-k-no-ns-nd/photo.jpg,,,,,Claimed business,,"SA|12222|Riyadh|محطة ساسكو, Abdallah Ibn Soleiman Al Hamadani|Al Olaya",,,,open,,https://www.google.com/maps/place/?q=place_id:ChIJj9Jws3kILz4Rt12m9KjzzZw,[],
Tamimi Markets,+966 800 303 0010,Hypermarket,Hypermarket|Convenience store|Supermarket,http://www.tamimimarkets.com/,4.1,1215.0,1: Open 24 hours|2: Open 24 hours|3: Open 24 hours|4: Open 24 hours|5: Open 24 hours|6: Open 24 hours|7: Open 24 hours,['https://lh5.googleusercontent.com/p/AF1QipOJw2Lp04It1aMm_fSUS2t4tY3vh6S21iGRdhA=w408-h544-k-no'],ChIJS5Y3ZjgDLz4RqsqTHpLikMY,46.681963,24.6909541,Al Olaya,Riyadh,1913.0,https://lh6.googleusercontent.com/-CY7QklXWtrU/AAAAAAAAAAI/AAAAAAAAAAA/WcXj6IgoBWg/s44-p-k-no-ns-nd/photo.jpg,,,12313.0,,Claimed business,In-store pickup|Delivery,SA|Riyadh|King Fahd Rd|Al Olaya,,,,open,"['https://drive.google.com/open?id=1bKbj5vbLDIwtpQ4SjflAUa-dUXtVC9ZP', 'https://drive.google.com/open?id=12oSnrfG9HN5fcY3yUT5oS3yyXiDj-bZ2', 'https://drive.google.com/open?id=1QgekB2t9xH-VfAhGS0xotmDBJhRSO2LA', 'https://drive.google.com/open?id=1TRmxGJR9lGEihXkpGo3lEjFwt3V7Errq', 'https://drive.google.com/open?id=1Mhyasuj1wR2h8NrVapBVjze7RFWB4Cyi', 'https://drive.google.com/open?id=1-FGOVjwPNQLrFfg3e3dgChSRQqJuF4q7', 'https://drive.google.com/open?id=1RlosVNVKMCtywfiXXdsVvMJJozMSMjt1', 'https://drive.google.com/open?id=1LdqFNKy4KwXa9LzU_aJAaydkHgZXDZR2', 'https://drive.google.com/open?id=1lMDbzYni-58WymnJQrRBA9agejKDaGXw', 'https://drive.google.com/open?id=1ihWjaB7_utIcGf5GIVDOEbJDmOrtv41l']",https://www.google.com/maps/place/?q=place_id:ChIJS5Y3ZjgDLz4RqsqTHpLikMY,"['https://drive.google.com/open?id=1l7m5cH-lBgE9z4GY-Y5Pz8cUQ8vOyJa3', 'https://drive.google.com/open?id=1unvzwNEgQjYlkJWgjst_XZtKNK92m1oq', 'https://drive.google.com/open?id=1TWaS0UWrlrwqmuJaUIfi5O305ZZG1rFt', 'https://drive.google.com/open?id=14sZ8Z5FqIskjn6f7xalNjM4-hdNSbz9M', 'https://drive.google.com/open?id=1GbNA8m0Z3IMUFazHBSdpepi_hDUqrfPH']",
AlBaik,,Fast food restaurant,Fast food restaurant|Chicken restaurant,,3.4,1211.0,1: 9 AM–2 AM|2: 9 AM–2 AM|3: 9 AM–2 AM|4: 9 AM–2 AM|5: 9 AM–2 AM|6: 9 AM–2 AM|7: 9 AM–2 AM,[],ChIJYUGdwOgDLz4RPYhRi8OThMM,46.673604,24.6896607,Al Olaya,Riyadh,401.0,,,,12313.0,$,Claim this business,Dine-in|Takeout|No-contact delivery,SA|Riyadh|MMQF+VC9|Al Olaya,,,,open,"['https://drive.google.com/open?id=1HIgFxeImEASsQF8nZ5GU2tdjcwJX1Qux', 'https://drive.google.com/open?id=1Dd-mo6EiiXGGjqHE_mMhLyI1dXaWlQM7', 'https://drive.google.com/open?id=1uilRryuzb-QXHVb1TKkqKz4HC1AJblKv', 'https://drive.google.com/open?id=1WYXxaR9Jz4PXsKEwKgqmWtdcEpWXl_KM', 'https://drive.google.com/open?id=1zLwERJwjBCJPLfirvUqWJhDntxtF3zfu']",https://www.google.com/maps/place/?q=place_id:ChIJYUGdwOgDLz4RPYhRi8OThMM,[],
Carawan Al Khaleej Hotel,+966 53 846 4666,Hotel,Hotel,http://www.carawan-alkhaleej.com/,3.9,1211.0,,['https://lh5.googleusercontent.com/p/AF1QipM4v0coO2L3iM2n4Efi1WByiTZjr0cUkBttnc-p=w408-h272-k-no'],ChIJoQs4jmEDLz4RfemCjAtdpeo,46.6941213,24.6765765,Al Olaya,Riyadh,485.0,https://lh6.googleusercontent.com/-I_-zaOS8Nsk/AAAAAAAAAAI/AAAAAAAAAAA/FbwSVcIEj9s/s44-p-k-no-ns-nd/photo.jpg,"Unfussy rooms & suites in a casual hotel featuring a 24-hour coffee shop, as well as parking.",,,,Claimed business,,SA|11543|Riyadh|Olaya St|Al Olaya,,,SAR 405.00,open,,https://www.google.com/maps/place/?q=place_id:ChIJoQs4jmEDLz4RfemCjAtdpeo,[],
نيّف لاونج Nyef Lounge,+966 58 380 2414,Bakery,Bakery|Cafe,,4.3,1204.0,1: Open 24 hours|2: Open 24 hours|3: Open 24 hours|4: Open 24 hours|5: Open 24 hours|6: Open 24 hours|7: Open 24 hours,['https://lh5.googleusercontent.com/p/AF1QipObBG1KeQrl9U5PTpwl78csBjpw0pcT8B0jgyEU=w408-h680-k-no'],ChIJKeO3xyUDLz4RKNHlcfaADuM,46.6905339,24.683774,Al Olaya,Riyadh,479.0,https://lh5.googleusercontent.com/-PHF5_LgoL8I/AAAAAAAAAAI/AAAAAAAAAAA/3U5ozk2CTdc/s44-p-k-no-ns-nd/photo.jpg,,,12221.0,$$,Claimed business,Dine-in|Drive-through|No-contact delivery,SA|Riyadh|Olaya St|Al Olaya,,,,open,,https://www.google.com/maps/place/?q=place_id:ChIJKeO3xyUDLz4RKNHlcfaADuM,[],
Falafel Dam,+966 50 523 3764,Falafel restaurant,Falafel restaurant|Restaurant,https://www.instagram.com/falafeldam/,3.5,1191.0,1: 5 AM–12 AM|2: 5 AM–12 AM|3: 5 AM–12 AM|4: 5 AM–12 AM|5: 5 AM–12 AM|6: 5 AM–12 AM|7: 5 AM–12 AM,[],ChIJ9UnhuIEdLz4RG3Dk4_pdVOw,46.6701663,24.6993243,Al Olaya,Riyadh,308.0,,,,,,Claim this business,Dine-in|Takeaway|No-contact delivery,"SA|11564|Riyadh|MMXC+P3F, Musa Ibn Nusair St|Al Olaya",https://hungerstation.com/ar/riyadh/al-ulaya/50038/falafel-dam?utm_source=google&utm_medium=organic&utm_campaign=google_reserve_place_order_action,,,open,,https://www.google.com/maps/place/?q=place_id:ChIJ9UnhuIEdLz4RG3Dk4_pdVOw,[],
Piano Lounge,+966 55 510 4104,Lounge,Lounge|Restaurant,https://www.instagram.com/piano.sa/,3.8,1187.0,1: Open 24 hours|2: Open 24 hours|3: Open 24 hours|4: Open 24 hours|5: Open 24 hours|6: Open 24 hours|7: Open 24 hours,['https://lh5.googleusercontent.com/p/AF1QipMGlrVCpWznn3MRh4d_bchEiwt-EKUESoZ1hxKS=w408-h306-k-no'],ChIJR4FkuxQDLz4Ryo2Nd7vNRHU,46.6875519,24.6977307,Al Olaya,Riyadh,239.0,https://lh3.googleusercontent.com/-kOfPg-0WvzU/AAAAAAAAAAI/AAAAAAAAAAA/qTY5_QTrU10/s44-p-k-no-ns-nd/photo.jpg,,,12222.0,,Claimed business,Dine-in|Takeout|No-contact delivery,SA|12222|Riyadh|2385 Prince Muhammad Ibn Abd Al Aziz|Al Olaya,,,,open,,https://www.google.com/maps/place/?q=place_id:ChIJR4FkuxQDLz4Ryo2Nd7vNRHU,[],
"Roma Restaurant, Library Branch - مطعم روما فرع المكتبة",+966 11 810 9526,Restaurant,Restaurant,,4.3,1179.0,1: 1 PM–1 AM|2: 1 PM–1 AM|3: 1 PM–1 AM|4: 1 PM–1 AM|5: 1 PM–1 AM|6: 1 PM–1 AM|7: 1 PM–1 AM,['https://lh5.googleusercontent.com/p/AF1QipOb6P6Yv10OQQ4ILjN433GV8-E2aFmPh1kkKmZ_=w408-h305-k-no'],ChIJwTH13kMDLz4RQbckxyOLCIU,46.6864519,24.6862331,Al Olaya,Riyadh,914.0,https://lh3.googleusercontent.com/-4rz-Kko86bI/AAAAAAAAAAI/AAAAAAAAAAA/ulsT1wXJJY4/s44-p-k-no-ns-nd/photo.jpg,,,12211.0,,Claimed business,Dine-in|Takeaway|No-contact delivery,SA|12211|Riyadh|No. 28|Al Olaya,https://hungerstation.com/ar/riyadh/al-ulaya/50543/roma-restaurant?utm_source=google&utm_medium=organic&utm_campaign=google_reserve_place_order_action,,,open,,https://www.google.com/maps/place/?q=place_id:ChIJwTH13kMDLz4RQbckxyOLCIU,[],
Starbucks,+966 11 510 7979,Coffee shop,Coffee shop,https://locations.starbucks.sa/directory/riyadh/al-faleh?utm_source=GMB&utm_medium=Yext&y_source=1_MTU0NzkwNTQtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,4.1,1170.0,"1: 6:30 AM–12:30 AM|2: 6:30 AM–12:30 AM|3: 6:30 AM–12:30 AM|4: 6:30 AM–12:30 AM|5: 6:30 AM–12:30 AM|6: 6:30–11:45 AM, 12:15 PM–12:30 AM|7: 6:30 AM–12:30 AM",['https://lh5.googleusercontent.com/p/AF1QipNIJ8yBzWomXpt1SrA7loLkQWPntM9mwUELGYzp=w408-h306-k-no'],ChIJQ9MMXygDLz4RcdizvItOCfc,46.679131,24.704945,Al Olaya,Riyadh,452.0,https://lh4.googleusercontent.com/-7IzGWORh0Sk/AAAAAAAAAAI/AAAAAAAAAAA/-L7hqsSlaTY/s44-p-k-no-ns-nd/photo.jpg,"Seattle-based coffeehouse chain known for its signature roasts, light bites and WiFi availability.",,12214.0,$$,Claimed business,Dine-in|Takeout|No-contact delivery,SA|Riyadh|Al Faleh|Al Olaya,,,,open,,https://www.google.com/maps/place/?q=place_id:ChIJQ9MMXygDLz4RcdizvItOCfc,[],
فندق كانتونال من ورويك,+966 11 414 5577,Hotel,Hotel,https://www.warwickhotels.com/cantonal-hotel-by-warwick-riyadh,4.7,1170.0,,['https://lh5.googleusercontent.com/p/AF1QipNm6vtlkd02GSV8lQGVubSUgQWQ71Gb2_mugG54=w408-h274-k-no'],ChIJi3fdolgDLz4R3aVggXETZ0k,46.6772004,24.7066925,Al Olaya,Riyadh,662.0,https://lh3.googleusercontent.com/-B-6TcCnTD2w/AAAAAAAAAAI/AAAAAAAAAAA/w36E07Dz1Cg/s44-p-k-no-ns-nd/photo.jpg,"Sophisticated hotel offering 2 restaurants & a lobby cafe, plus an indoor pool, a gym & a spa.",,12214.0,,Claimed business,,SA|12214|Riyadh|84 Al Awsat Valley St|Al Olaya,,,SAR 798.75,open,,https://www.google.com/maps/place/?q=place_id:ChIJi3fdolgDLz4R3aVggXETZ0k,[],
Toby's Estate Coffee Roasters (Olaya),+966 55 794 0048,Coffee shop,Coffee shop,https://instagram.com/tobysestate.sa?igshid=YmMyMTA2M2Y=,3.9,1157.0,1: 7 AM–1 AM|2: 7 AM–1 AM|3: 7 AM–1 AM|4: 7 AM–1 AM|5: 7 AM–2 AM|6: 7 AM–2 AM|7: 7 AM–1 AM,['https://lh5.googleusercontent.com/p/AF1QipM0bTicii_dIx0INIiV8uTAfJNJ8dzMLb2_rqDM=w408-h725-k-no'],ChIJzXA11zEDLz4Rywpgn5zncG8,46.6831246,24.697038,Al Olaya,Riyadh,1627.0,https://lh4.googleusercontent.com/-xZALlo0ot5g/AAAAAAAAAAI/AAAAAAAAAAA/yJPvtyZeDsg/s44-p-k-no-ns-nd/photo.jpg,,,,,Claimed business,Dine-in|Takeout|No-contact delivery,"SA|Huraymila|Olaya Towers, Prince Mohammad Bin Abdulaziz Street|Al Olaya",,,,open,"['https://drive.google.com/open?id=1ARE4eRVpkFJMc-p-vFgdzxuZ_23YOTZn', 'https://drive.google.com/open?id=1GFvpH6bwj--gN4Kq9TzCDwFKoZUfBUrS', 'https://drive.google.com/open?id=14mmH_Ug2H-jx3jUAhslrUnOeGSBafQOU', 'https://drive.google.com/open?id=1wihgnn1DvSygjya78gwl9YXqLkROjEOI', 'https://drive.google.com/open?id=1Spn9i-fcmVd9YFGzwz7tGJlMLY6okVD7', 'https://drive.google.com/open?id=16Pu52doK4BqeTrIIaNYb8w6siG4sNzNY', 'https://drive.google.com/open?id=1UBau5QzgYrZvvqv6huxGuw06c_19PUmS', 'https://drive.google.com/open?id=1IgIvhBQOoFgvHolhEPw1WXqlozok6AfQ', 'https://drive.google.com/open?id=1sxNDc5G_SxgsIS4aQgy1rgHhq3-4XDOK', 'https://drive.google.com/open?id=1WRAb_ddhbUcBFBLuIVQeBwyByWd0quSq']",https://www.google.com/maps/place/?q=place_id:ChIJzXA11zEDLz4Rywpgn5zncG8,"['https://drive.google.com/open?id=1zUl-lCVrgnRvKtNsH2VXVGIbBQiT0t2m', 'https://drive.google.com/open?id=1BR7rvxh5O5AdqBGFcWZ7QTcsLL2xuIH2', 'https://drive.google.com/open?id=1i6aILKVidzmDUeD2eqKoWCZ-YymJ7eVY', 'https://drive.google.com/open?id=1vee3_RmRXqCWvstw_Y6QuDbxXSIh0rnq']",
Meraki Riyadh,+966 9200 01050,Greek restaurant,Greek restaurant|Restaurant,http://www.meraki-restaurant.com/riyadh,4.2,1153.0,"1: 1–4 PM, 7 PM–12 AM|2: 1–4 PM, 7 PM–12 AM|3: 1–4 PM, 7 PM–12 AM|4: 1–4 PM, 7 PM–12 AM|5: 1–4 PM, 7 PM–12 AM|6: 1 PM–12 AM|7: 1 PM–12 AM",[],ChIJ2zZEhMQDLz4RzxQCnlsrarE,46.6838762,24.6904627,Al Olaya,Riyadh,1918.0,,,,,$$$$,Claim this business,Dine-in|Takeout|No-contact delivery,"SA|12212|Riyadh|Al Faisaliah District, Mutaseem Street|Al Olaya",https://meraki-restaurant.com/riyadh#,meraki-restaurant.com,,open,,https://www.google.com/maps/place/?q=place_id:ChIJ2zZEhMQDLz4RzxQCnlsrarE,[],
Tim Hortons,+966 59 380 8666,Restaurant,Restaurant|Bakery|Breakfast restaurant|Cafe|Coffee stand|Coffee store|Coffee shop,https://timhortonsgcc.com/,4.2,1145.0,1: 6 AM–12 AM|2: 6 AM–12 AM|3: 6 AM–12 AM|4: 6 AM–12 AM|5: 6 AM–12 AM|6: 6 AM–12 AM|7: 6 AM–12 AM,['https://lh5.googleusercontent.com/p/AF1QipOAVeyAt-oolzwy_tPanNcnZ-sT0Lj0gzURckqf=w408-h306-k-no'],ChIJ_cQtrNIcLz4RVci9tJqhTfY,46.6703125,24.6955625,Al Olaya,Riyadh,458.0,https://lh5.googleusercontent.com/-kMxXttRtTpI/AAAAAAAAAAI/AAAAAAAAAAA/R9n416g6A3c/s44-p-k-no-ns-nd/photo.jpg,"Canadian chain for signature premium-blend coffee, plus light fare, pastries & breakfast sandwiches.",,,$$,Claimed business,Dine-in|Takeaway|No-contact delivery,SA|Riyadh|Al Olaya,https://hungerstation.com/ar/riyadh/al-mathar-alshmali/10716/tim-hortons-4565?utm_source=google&utm_medium=organic&utm_campaign=google_reserve_place_order_action,,,open,,https://www.google.com/maps/place/?q=place_id:ChIJ_cQtrNIcLz4RVci9tJqhTfY,[],
Sy Cafe,+966 11 293 2224,Cafe,Cafe,,3.7,1132.0,1: 10 AM–3 AM|2: 1 PM–3 AM|3: 1 PM–3 AM|4: 1 PM–3 AM|5: 1 PM–3 AM|6: 3 PM–2 AM|7: 1 PM–3 AM,[],ChIJs-4JngEDLz4R_I4g3078rHI,46.6731379,24.691627,Al Olaya,Riyadh,770.0,,,,12313.0,,Claim this business,Dine-in|Takeout|No-contact delivery,SA|Riyadh|MMRF+M72|Al Olaya,,,,open,"['https://drive.google.com/open?id=1wAyCnwtG1kP-l4ToOwWKcHdPE9NuzJ9z','https://drive.google.com/open?id=1Gfxp6iYxg36qeyydrmvpyxv5AqWG-XXR','https://drive.google.com/open?id=1eBcGLsCf_C1DKfr9yJp2ZNtBD3Fkkxji','https://drive.google.com/open?id=1JZlUL7SPJR3-eTU_tNbohrjCHZyAQgID']",https://www.google.com/maps/place/?q=place_id:ChIJs-4JngEDLz4R_I4g3078rHI,[],
